aate-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	aatusiq
akeqe-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	akequsaq
alinge-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	alingutkaa
alleg-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	aallgusiq
amyugh-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	amyuutkaa
eftugh-uute[N→V][V][Intr][Ind][3Sg]	eftughuutuq
egtugute-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	egtugututkaa
gaagh-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	gaaghusiq
igagh-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	igaasiq
ighlegite-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	ighlegitusaq
iknaqsuugte-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	iknaqsuugutkaa
imiite-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	imiitusaq
kiingighte-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	kiingightusiq
lengaagh-uute[N→V][V][Intr][Ind][3Sg]	lengaaghuutuq
leveklug-uute[N→V][V][Intr][Ind][3Sg]	levekluguutuq
mengqugh-uute[N→V][V][Intr][Ind][3Sg]	mengqughuutuq
mingilate-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	mingilatusiq
naaghte-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	naaghtusiq
naalkute-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	naalkutusiq
naallghute-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	naallghutusiq
navghagh-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	navghaasiq
neghe-~fughtagh[V→V][V][Trns][Ind][3Sg][3Sg]	neghughtaghaa
neghe-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	neghusiq
nenglagh-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	nenglaatkaa
palaghhaghte-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	palaghhaghtusaq
palaghute-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	palaghutusaq
payangite-@₁~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	payangitutaa
pillguyugte-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	pillguyugutkaa
piniyugte-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	piniyugutkaa
pirughte-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	pirughtusaq
qamite-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	qamitusaq
qeneghte-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	qeneghtutkaa
qiya-@₁~:(u)tke[V→V][V][Trns][Ind][3Sg][3Sg]	qiyatkaa
tugu-~:(u)sigh[V→N][N][Abs][Unpd][Sg]	tugusiq
tuyugh-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	tuyuusaq
uguqe-~fughtagh[V→V][V][Intr][Ind][3Sg]	uguqughtaghtuq
veghte-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	veghtusaq
veghute-~:(u)sagh[V→N][N][Abs][Unpd][Sg]	veghutusaq
